Frame,Time_Seconds,X_Position,Y_Position,Velocity_X,Velocity_Y,IsFalling,IsElectrocuted,Dialogue
1,1,0,,,,,,S키나 아래 화살표를 눌러주세요
2,1,0,,,,,,그 상태로 움직일 수 있습니다
3,1,11,,,,,,자 슬라이드를 하며 오른쪽으로
4,1,23,,,,,,점프는 위에 키입니다
5,1,23,2,,,,,좋아요
6,1,36,,,,,,어떻게 하면 달리는 게임일까
7,1,36,,,,,,SHIFT를 꾹 누르는건 식상합니다
8,1,55,,,,,,SHIFT를 연타해야 실감나죠
9,1,55,,,,,,점프키를 꾹 눌러보세요
10,1,103,,,,,,가끔은 돌아가는 것이 더 높은 법
11,1,126,,,,,,속도가 빠르면 적이 날라가요
12,1,210,,,,,,어렵다면 E키를 눌러보세요
13,1,226,,,,,,숫자키를 눌러서 마실 수 있어요
14,,,,,,,,
15,,,,,,,,
16,,,,,,,,
17,,,,,,,,
18,,,,,,,,
19,,,,,,,,
20,,,,,,,,
21,,,,,,,,
22,,,,50,,,,
23,,,,,,,,
24,,,,,,,,
25,,,,,,,,
26,,,,,,,,
27,,,,,,,,
28,,,,,,,,
29,,,,,,,,
30,,,,,,,,
31,,,,,,,,
32,,,,,,,,
33,,,,,,,,
34,,,,,,,,
35,,,,,,,,
36,,,,,,,,
37,,,,,,,,
38,,,,,,,,
39,,,,,,,,
40,,,,,,,,
41,,,,,,,,
42,,,,,,,,
43,,,,,,,,
44,,,,,,,,
45,,,,,,,,
46,,,,,,,,
47,,,,,,,,
48,,,,,,,,
49,,,,,,,,
50,,,,,,,,
51,,,,,,,,
52,,,,,,,,
53,,,,,,,,
54,,,,,,,,
55,,,,,,,,
56,,,,,,,,
57,,,,,,,,
58,,,,,,,,
59,,,,,,,,
60,,,,,,,,
61,,,,,,,,
62,,,,,,,,
63,,,,,,,,
64,,,,,,,,
65,,,,,,,,
66,,,,,,,,
67,,,,,,,,
68,,,,,,,,
69,,,,,,,,
70,,,,,,,,
71,,,,,,,,
72,,,,,,,,
73,,,,,,,,
74,,,,,,,,
75,,,,,,,,
76,,,,,,,,
77,,,,,,,,
78,,,,,,,,
79,,,,,,,,
80,,,,,,,,
81,,,,,,,,
82,,,,,,,,
83,,,,,,,,
84,,,,,,,,
85,,,,,,,,
86,,,,,,,,
87,,,,,,,,
88,,,,,,,,
89,,,,,,,,
90,,,,,,,,
91,,,,,,,,
92,,,,,,,,
93,,,,,,,,
94,,,,,,,,
95,,,,,,,,
96,,,,,,,,
97,,,,,,,,
98,,,,,,,,
99,,,,,,,,
100,,,,,,,,
